,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
티커,SPX Index,,,SGX Index,,,SVX Index,,,SP500MUN Index,,,SPXQUN Index,,,SP5LVI Index,,,SPDAUDT Index
,,,,,,,,,,,,,,,,,,,
Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가
2025-07-14,6268.56,,2025-07-14,4482.01123,,2025-07-14,1951.37598,,2025-07-14,1022.51,,2025-07-14,1247.42,,2025-07-14,11693.02,,2025-07-14,4780.9082
2025-06-30,6204.95,,2025-06-30,4443.06396,,2025-06-30,1928.33997,,2025-06-30,1016.9,,2025-06-30,1246.177,,2025-06-30,11701.63,,2025-06-30,4685.14111
2025-05-30,5911.69,,2025-05-30,4180.90283,,2025-05-30,1863.19104,,2025-05-30,951.18,,2025-05-30,1225.505,,2025-05-30,11820.41,,2025-05-30,4642.23096
2025-04-30,5569.06,,2025-04-30,3823.896,,2025-04-30,1812.44873,,2025-04-30,854.29,,2025-04-30,1154.025,,2025-04-30,11714.23,,2025-04-30,4542.92676
2025-03-31,5611.85,,2025-03-31,3741.90698,,2025-03-31,1882.026,,2025-03-31,835,,2025-03-31,1155.526,,2025-03-31,12005.57,,2025-03-31,4720.70996
2025-02-28,5954.5,,2025-02-28,4078.80493,,2025-02-28,1942.92297,,2025-02-28,899.87,,2025-02-28,1221.68,,2025-02-28,11990.07,,2025-02-28,4784.51807
2025-01-31,6040.53,,2025-01-31,4203.54395,,2025-01-31,1938.30798,,2025-01-31,902.18,,2025-01-31,1212.846,,2025-01-31,11478.82,,2025-01-31,4708.64404
2024-12-31,5881.63,,2024-12-31,4095.32617,,2024-12-31,1886.14758,,2024-12-31,855.996,,2024-12-31,1165.491,,2024-12-31,11255.05,,2024-12-31,4574.45801
2024-11-29,6032.38,,2024-11-29,4063.35498,,2024-11-29,2027.48706,,2024-11-29,871.108,,2024-11-29,1196.956,,2024-11-29,12041.73,,2024-11-29,4952.25195
2024-10-31,5705.45,,2024-10-31,3838.06689,,2024-10-31,1920.96204,,2024-10-31,817.573,,2024-10-31,1138.887,,2024-10-31,11431.73,,2024-10-31,4727.83105
2024-09-30,5762.48,,2024-09-30,3864.02393,,2024-09-30,1948.396,,2024-09-30,816.118,,2024-09-30,1167.614,,2024-09-30,11545.85,,2024-09-30,4877.63379
2024-08-30,5648.4,,2024-08-30,3759.88599,,2024-08-30,1930.28198,,2024-08-30,802.721,,2024-08-30,1153.353,,2024-08-30,11447.98,,2024-08-30,4760.77197
2024-07-31,5522.3,,2024-07-31,3681.84595,,2024-07-31,1879.04004,,2024-07-31,773.409,,2024-07-31,1118.08,,2024-07-31,10903.78,,2024-07-31,4592.14893
2024-06-28,5460.48,,2024-06-28,3731.62891,,2024-06-28,1796.78198,,2024-06-28,786.218,,2024-06-28,1099.307,,2024-06-28,10457.13,,2024-06-28,4365.12109
2024-05-31,5277.51,,2024-05-31,3490.27808,,2024-05-31,1812.06006,,2024-05-31,730.661,,2024-05-31,1060.021,,2024-05-31,10498.51,,2024-05-31,4426.46924
2024-04-30,5035.69,,2024-04-30,3276.62695,,2024-04-30,1763.92297,,2024-04-30,682.195,,2024-04-30,1006.9,,2024-04-30,10265,,2024-04-30,4361.8418
2024-03-29,5254.35,,2024-03-29,3410.90405,,2024-03-29,1845.71399,,2024-03-29,719.632,,2024-03-29,1043.689,,2024-03-29,10602.51,,2024-03-29,4574.85791
2024-02-29,5096.27,,2024-02-29,3341.59399,,2024-02-29,1768.60901,,2024-02-29,691.053,,2024-02-29,1006.57,,2024-02-29,10307.35,,2024-02-29,4368.65723
2024-01-31,4845.65,,2024-01-31,3116.9519,,2024-01-31,1720.63599,,2024-01-31,621.83,,2024-01-31,958.739,,2024-01-31,10163.26,,2024-01-31,4254.72998
2023-12-29,4769.83,,2023-12-29,3030.31201,,2023-12-29,1718.21802,,2023-12-29,587.587,,2023-12-29,930.975,,2023-12-29,10079.42,,2023-12-29,4271.92676
2023-11-30,4567.8,,2023-11-30,2924.07104,,2023-11-30,1630.67603,,2023-11-30,551.536,,2023-11-30,891.792,,2023-11-30,9871.1,,2023-11-30,4059.85596
2023-10-31,4193.8,,2023-10-31,2692.86499,,2023-10-31,1491.68103,,2023-10-31,502.873,,2023-10-31,835.48,,2023-10-31,9397.09,,2023-10-31,3807.67603
2023-09-29,4288.05,,2023-09-29,2761.18311,,2023-09-29,1519.94702,,2023-09-29,513.005,,2023-09-29,858.962,,2023-09-29,9450.31,,2023-09-29,3943.59692
2023-08-31,4507.66,,2023-08-31,2905.20508,,2023-08-31,1596.07605,,2023-08-31,519.848,,2023-08-31,897.962,,2023-08-31,9843.09,,2023-08-31,4183.3501
2023-07-31,4588.96,,2023-07-31,2927.70996,,2023-07-31,1644.71594,,2023-07-31,508.677,,2023-07-31,896.403,,2023-07-31,10171.1,,2023-07-31,4281.80713
2023-06-30,4450.38,,2023-06-30,2843.13892,,2023-06-30,1592.5,,2023-06-30,499.695,,2023-06-30,864.233,,2023-06-30,10092.21,,2023-06-30,4170.32422
2023-05-31,4179.83,,2023-05-31,2675.427,,2023-05-31,1492.30603,,2023-05-31,471.595,,2023-05-31,814.306,,2023-05-31,9713.27,,2023-05-31,3856.7959
2023-04-28,4169.48,,2023-04-28,2614.48901,,2023-04-28,1524.52905,,2023-04-28,499.307,,2023-04-28,821.458,,2023-04-28,10276.3,,2023-04-28,4096.72314
2023-03-31,4109.31,,2023-03-31,2579.28491,,2023-03-31,1500.85999,,2023-03-31,485.164,,2023-03-31,808.496,,2023-03-31,10024.54,,2023-03-31,4010.521
2023-02-28,3970.15,,2023-02-28,2440.10107,,2023-02-28,1484.24805,,2023-02-28,476.722,,2023-02-28,768.88,,2023-02-28,9897.74,,2023-02-28,3973.87695
2023-01-31,4076.6,,2023-01-31,2491.85303,,2023-01-31,1533.06604,,2023-01-31,499.434,,2023-01-31,784.51,,2023-01-31,10257.27,,2023-01-31,4067.27295
2022-12-30,3839.5,,2022-12-30,2361.03491,,2022-12-30,1434.58899,,2022-12-30,501.957,,2022-12-30,748.95,,2022-12-30,10268.35,,2022-12-30,3939.47095
2022-11-30,4080.11,,2022-11-30,2558.31006,,2022-11-30,1495.81104,,2022-11-30,519.569,,2022-11-30,788.26,,2022-11-30,10477.91,,2022-11-30,4109.19922
2022-10-31,3871.98,,2022-10-31,2437.56592,,2022-10-31,1414.49304,,2022-10-31,503.717,,2022-10-31,736.49,,2022-10-31,9928.13,,2022-10-31,3834.02905
2022-09-30,3585.62,,2022-09-30,2334.21899,,2022-09-30,1270.36206,,2022-09-30,443.012,,2022-09-30,673.42,,2022-09-30,9294.42,,2022-09-30,3470.24707
2022-08-31,3955,,2022-08-31,2594.93506,,2022-08-31,1390.85498,,2022-08-31,476.303,,2022-08-31,738.26,,2022-08-31,10165.9,,2022-08-31,3822.97803
2022-07-29,4130.29,,2022-07-29,2744.2041,,2022-07-29,1434.94897,,2022-07-29,491.704,,2022-07-29,767.58,,2022-07-29,10379.46,,2022-07-29,3931.53394
2022-06-30,3785.38,,2022-06-30,2433.75903,,2022-06-30,1356.76294,,2022-06-30,456.496,,2022-06-30,709.04,,2022-06-30,9971.41,,2022-06-30,3686.13892
2022-05-31,4132.15,,2022-05-31,2655.65601,,2022-05-31,1481.58606,,2022-05-31,497.278,,2022-05-31,792.11,,2022-05-31,10443.73,,2022-05-31,3953.56006
2022-04-29,4131.93,,2022-04-29,2695.14893,,2022-04-29,1461.21497,,2022-04-29,490.701,,2022-04-29,780.05,,2022-04-29,10527.4,,2022-04-29,3940.18408
2022-03-31,4530.41,,2022-03-31,3080.84106,,2022-03-31,1537.74304,,2022-03-31,534.034,,2022-03-31,839.05,,2022-03-31,10788.55,,2022-03-31,4073.63794
