,S&P500 ,S&P500 월간수익률,미국채10년 변화율,S&P500 VIX 변화율,신용거래 변화율,MOVE Index 변화율,실업률 변화율,기대인플레이션 10년 변화율,금가격 변화율
2025-04-30,5569.06 ,-0.76%,-0.05 ,10.86%,-3.38%,10.98%,0.00,-0.13 ,5.29%
2025-03-31,5611.85 ,-5.75%,0.00 ,13.50%,-4.12%,-2.98%,0.10,0.00 ,9.30%
2025-02-28,5954.50 ,-1.42%,-0.33 ,19.48%,-2.04%,13.84%,0.10,-0.06 ,2.12%
2025-01-31,6040.53 ,2.70%,-0.03 ,-5.30%,4.24%,-7.13%,-0.10,0.09 ,6.63%
2024-12-31,5881.63 ,-2.50%,0.40 ,28.42%,0.93%,3.76%,-0.10,0.07 ,-0.71%
2024-11-29,6032.38 ,5.73%,-0.11 ,-41.67%,9.26%,-29.56%,0.10,-0.06 ,-3.67%
2024-10-31,5705.45 ,-0.99%,0.50 ,38.43%,0.27%,42.88%,0.00,0.14 ,4.15%
2024-09-30,5762.48 ,2.02%,-0.12 ,11.53%,2.01%,-12.21%,-0.10,0.04 ,5.24%
2024-08-30,5648.40 ,2.28%,-0.13 ,-8.31%,-1.69%,8.41%,0.00,-0.08 ,2.28%
2024-07-31,5522.30 ,1.13%,-0.37 ,31.51%,0.19%,0.83%,0.10,-0.06 ,5.19%
2024-06-28,5460.48 ,3.47%,-0.10 ,-3.72%,-0.01%,8.17%,0.10,-0.06 ,-0.02%
2024-05-31,5277.51 ,4.80%,-0.18 ,-17.44%,4.38%,-15.19%,0.10,-0.05 ,1.80%
2024-04-30,5035.69 ,-4.16%,0.48 ,20.29%,-1.11%,24.40%,0.00,0.08 ,2.53%
2024-03-28,5254.35 ,3.10%,-0.05 ,-2.91%,5.54%,-20.82%,0.00,0.00 ,9.08%
2024-02-29,5096.27 ,5.17%,0.34 ,-6.62%,5.84%,1.70%,0.20,0.08 ,0.23%
2024-01-31,4845.65 ,1.59%,0.03 ,15.26%,0.17%,-6.40%,-0.10,0.07 ,-1.14%
2023-12-29,4769.83 ,4.42%,-0.45 ,-3.64%,6.04%,-0.61%,0.10,-0.08 ,1.30%
2023-11-30,4567.80 ,8.92%,-0.60 ,-28.78%,4.03%,-9.10%,-0.20,-0.17 ,2.65%
2023-10-31,4193.80 ,-2.20%,0.35 ,3.54%,-6.69%,11.72%,0.10,0.08 ,7.32%
2023-09-29,4288.05 ,-4.87%,0.47 ,29.11%,-1.21%,5.21%,0.10,0.10 ,-4.72%
2023-08-31,4507.66 ,-1.77%,0.15 ,-0.44%,-2.91%,-3.66%,0.20,-0.14 ,-1.27%
2023-07-31,4588.96 ,3.11%,0.12 ,0.29%,4.20%,1.26%,-0.10,0.14 ,2.38%
2023-06-30,4450.38 ,6.47%,0.20 ,-24.25%,5.75%,-18.66%,0.00,0.06 ,-2.21%
2023-05-31,4179.83 ,0.25%,0.23 ,13.69%,1.93%,11.07%,0.20,-0.03 ,-1.37%
2023-04-28,4169.48 ,1.46%,-0.05 ,-15.61%,-2.09%,-9.91%,-0.10,-0.11 ,1.05%
2023-03-31,4109.31 ,3.51%,-0.45 ,-9.66%,3.37%,9.98%,-0.10,-0.06 ,7.79%
2023-02-28,3970.15 ,-2.61%,0.41 ,6.70%,-2.63%,24.17%,0.10,0.13 ,-5.26%
2023-01-31,4076.60 ,6.18%,-0.37 ,-10.48%,5.70%,-18.15%,0.00,-0.05 ,5.72%
