DATE,미국채10년금리,VIX지수,장단기금리차,신용스프레드,달러인덱스
1990-01-02,7.94,17.24,0.07,1.91,
1990-01-03,7.99,18.19,0.05,1.87,
1990-01-04,7.98,19.22,0.06,1.86,
1990-01-05,7.99,20.11,0.09,1.89,
1990-01-08,8.02,20.26,0.12,1.86,
1990-01-09,8.02,22.2,0.11,1.84,
1990-01-10,8.03,22.44,0.12,1.85,
1990-01-11,8.04,20.05,0.13,1.82,
1990-01-12,8.1,24.64,0.17,1.77,
1990-01-16,8.2,24.18,0.1,1.72,
1990-01-17,8.19,24.16,0.1,1.73,
1990-01-18,8.32,24.34,0.07,1.65,
1990-01-19,8.26,22.5,0.06,1.69,
1990-01-22,8.27,26.7,0.09,1.69,
1990-01-23,8.26,24.72,0.08,1.71,
1990-01-24,8.38,25.39,0.18,1.62,
1990-01-25,8.42,25.63,0.18,1.58,
1990-01-26,8.49,26.28,0.21,1.57,
1990-01-29,8.5,26.44,0.2,1.59,
1990-01-30,8.51,27.25,0.21,1.61,
1990-01-31,8.43,25.36,0.15,1.68,
1990-02-01,8.42,24.87,0.14,1.68,
1990-02-02,8.5,24.32,0.13,1.59,
1990-02-05,8.53,24.54,0.16,1.59,
1990-02-06,8.57,24.69,0.15,1.56,
1990-02-07,8.52,24.29,0.1,1.62,
1990-02-08,8.49,23.77,0.12,1.65,
1990-02-09,8.31,23.69,0.06,1.8,
1990-02-12,8.4,24.38,0.08,1.71,
1990-02-13,8.35,23.76,0.14,1.75,
1990-02-14,8.36,22.05,0.09,1.76,
1990-02-15,8.43,19.71,0.08,1.7,
1990-02-16,8.42,20.78,0.06,1.68,
1990-02-20,8.62,22.78,0.1,1.52,
1990-02-21,8.62,23.89,0.12,1.58,
1990-02-22,8.54,22.54,0.09,1.66,
1990-02-23,8.53,23.69,0.1,1.68,
1990-02-26,8.46,23.56,0.08,1.76,
1990-02-27,8.41,22.69,0.07,1.78,
1990-02-28,8.51,21.99,0.08,1.68,
1990-03-01,8.59,21.9,0.06,1.61,
1990-03-02,8.54,21.34,0.06,1.66,
1990-03-05,8.65,22.03,0.1,1.63,
1990-03-06,8.59,20.55,0.05,1.65,
1990-03-07,8.58,19.1,0.04,1.61,
1990-03-08,8.57,19.74,-0.02,1.66,
1990-03-09,8.65,20.3,-0.08,1.59,
1990-03-12,8.63,20.07,-0.08,1.61,
