날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
2025-07-14,4482.01123,1951.37598,1022.51,1247.42,11693.02,4780.9082
2025-06-30,4443.06396,1928.33997,1016.9,1246.177,11701.63,4685.14111
2025-05-30,4180.90283,1863.19104,951.18,1225.505,11820.41,4642.23096
2025-04-30,3823.896,1812.44873,854.29,1154.025,11714.23,4542.92676
2025-03-31,3741.90698,1882.026,835,1155.526,12005.57,4720.70996
2025-02-28,4078.80493,1942.92297,899.87,1221.68,11990.07,4784.51807
2025-01-31,4203.54395,1938.30798,902.18,1212.846,11478.82,4708.64404
2024-12-31,4095.32617,1886.14758,855.996,1165.491,11255.05,4574.45801
2024-11-29,4063.35498,2027.48706,871.108,1196.956,12041.73,4952.25195
2024-10-31,3838.06689,1920.96204,817.573,1138.887,11431.73,4727.83105
2024-09-30,3864.02393,1948.396,816.118,1167.614,11545.85,4877.63379
2024-08-30,3759.88599,1930.28198,802.721,1153.353,11447.98,4760.77197
2024-07-31,3681.84595,1879.04004,773.409,1118.08,10903.78,4592.14893
2024-06-28,3731.62891,1796.78198,786.218,1099.307,10457.13,4365.12109
2024-05-31,3490.27808,1812.06006,730.661,1060.021,10498.51,4426.46924
2024-04-30,3276.62695,1763.92297,682.195,1006.9,10265,4361.8418
2024-03-29,3410.90405,1845.71399,719.632,1043.689,10602.51,4574.85791
2024-02-29,3341.59399,1768.60901,691.053,1006.57,10307.35,4368.65723
2024-01-31,3116.9519,1720.63599,621.83,958.739,10163.26,4254.72998
2023-12-29,3030.31201,1718.21802,587.587,930.975,10079.42,4271.92676
2023-11-30,2924.07104,1630.67603,551.536,891.792,9871.1,4059.85596
2023-10-31,2692.86499,1491.68103,502.873,835.48,9397.09,3807.67603
2023-09-29,2761.18311,1519.94702,513.005,858.962,9450.31,3943.59692
2023-08-31,2905.20508,1596.07605,519.848,897.962,9843.09,4183.3501
2023-07-31,2927.70996,1644.71594,508.677,896.403,10171.1,4281.80713
2023-06-30,2843.13892,1592.5,499.695,864.233,10092.21,4170.32422
2023-05-31,2675.427,1492.30603,471.595,814.306,9713.27,3856.7959
2023-04-28,2614.48901,1524.52905,499.307,821.458,10276.3,4096.72314
2023-03-31,2579.28491,1500.85999,485.164,808.496,10024.54,4010.521
2023-02-28,2440.10107,1484.24805,476.722,768.88,9897.74,3973.87695
2023-01-31,2491.85303,1533.06604,499.434,784.51,10257.27,4067.27295
2022-12-30,2361.03491,1434.58899,501.957,748.95,10268.35,3939.47095
2022-11-30,2558.31006,1495.81104,519.569,788.26,10477.91,4109.19922
2022-10-31,2437.56592,1414.49304,503.717,736.49,9928.13,3834.02905
2022-09-30,2334.21899,1270.36206,443.012,673.42,9294.42,3470.24707
2022-08-31,2594.93506,1390.85498,476.303,738.26,10165.9,3822.97803
2022-07-29,2744.2041,1434.94897,491.704,767.58,10379.46,3931.53394
2022-06-30,2433.75903,1356.76294,456.496,709.04,9971.41,3686.13892
2022-05-31,2655.65601,1481.58606,497.278,792.11,10443.73,3953.56006
2022-04-29,2695.14893,1461.21497,490.701,780.05,10527.4,3940.18408
2022-03-31,3080.84106,1537.74304,534.034,839.05,10788.55,4073.63794
2022-02-28,2951.54297,1496.33203,517.56,832.92,10262.55,3924.08398
2022-01-31,3092.97095,1521.38794,528.003,855.71,10527.02,4029.50195
2021-12-31,3377.1731,1548.47498,564.22,892.62,11042.23,4200.09814
2021-11-30,3297.36304,1449.30505,549.376,850.55,10090.34,3912.9751
2021-10-29,3253.74097,1501.38794,564.848,861.66,10246.27,3984.70117
2021-09-30,2983.94604,1437.51294,526.277,812.55,9796.77,3759.30347
2021-08-31,3169.07202,1489.08496,552.851,848.88,10324.91,3985.45703
2021-07-30,3044.35498,1466.86096,528.957,832.26,10164.89,3910.22827
2021-06-30,2934.38696,1457.75,516.549,811.39,9816.32,3827.01294
2021-05-31,2778.23608,1477.49805,482.004,775.24,9832.2,3872.63721
2021-04-30,2805.7959,1445.70801,486.779,761.4,9733.3,3776.56006
2021-03-31,2626.55298,1395.62,461.179,737.64,9357.25,3617.23901
2021-02-26,2560.55005,1316.02795,452.337,709.19,8777.28,3363.61572
2021-01-29,2562.86304,1245.04797,459.868,695.76,8887.22,3271.71289
2020-12-31,2577.22095,1267.18005,460.575,699.61,9066.46,3333.73901
2020-11-30,2477.7749,1226.93103,445.78,673.7,8893.87,3281.67065
2020-10-30,2261.22412,1089.776,416.445,613.74,8391.94,2930.42603
2020-09-30,2334.46289,1114.12402,432.737,640.65,8653.72,2987.93994
2020-08-31,2450.91504,1143.86401,440.51,657.64,8821.16,3030.05591
2020-07-31,2239.36108,1107.13501,407.276,608.97,8586.28,2912.86133
2020-06-30,2094.21704,1070.37695,377.555,584.82,8004.44,2770.73706
2020-05-29,2013.60303,1083.07104,367.755,581.35,8051.33,2737.87402
2020-04-30,1903.30298,1053.14001,344.435,552.638,8042.58,2602.30811
2020-03-31,1664.04504,953.09161,310.446,492.32,7546.73,2353.19092
2020-02-28,1850.19275,1127.76624,340.952,542.15,8712.26,2725.62012
2020-01-31,1995.59705,1249.47095,370.861,592.41,9653.89,2988.45361
2019-12-31,1952.61804,1285.76697,360.438,598.51,9377.65,3067.56909
2019-11-29,1899.10095,1249.44299,353.009,578.626,9241.66,3009.14502
2019-10-31,1839.30396,1206.26794,346.591,560.09,9261.71,2920.00244
2019-09-30,1809.42297,1176.91895,347.117,546.672,9305.78,2883.29297
2019-08-30,1806.25696,1136.72498,346.044,537.24,9130.33,2788.26611
2019-07-31,1822.41394,1170.34802,347.832,543.935,8936.14,2804.69678
2019-06-28,1803.31494,1151.85901,345.111,538.3,8851.23,2779.13892
2019-05-31,1700.33997,1067.76599,328.823,503.731,8553.9,2593.27295
2019-04-30,1798.61804,1158.71301,337.59,538.991,8658.18,2744.71191
2019-03-29,1731.25195,1114.38403,334.204,520.71,8467.75,2696.20801
2019-02-28,1687.12305,1104.80298,325.073,505.55,8299.19,2647.49609
2019-01-31,1623.776,1083.65295,312.871,481.765,7992.21,2527.21802
2018-12-31,1512.01599,999.69928,286.903,449.528,7503.26,2397.04297
2018-11-30,1656.53455,1106.78406,314.285,490.29,8085.56,2604.08691
2018-10-31,1634.69104,1081.72803,309.217,490.729,7732.23,2481.01245
